cancer	type	sampleID	sample	exon	SNV	DEL	INS	Nonsense	Missense	Nonstop
CESC	normal	TCGA-BI-A20A	TCGA-BI-A20A-01A-11D-A14W-08	56	54	1.0	1.0	4.0	42	0
CESC	normal	TCGA-C5-A1BI	TCGA-C5-A1BI-01B-11D-A13W-08	107	106	1.0	0	4.0	92	1.0
CESC	normal	TCGA-C5-A1BM	TCGA-C5-A1BM-01A-11D-A13W-08	133	131	0	2.0	12.0	106	0
CESC	normal	TCGA-C5-A1M9	TCGA-C5-A1M9-01A-11D-A13W-08	49	48	1.0	0	2.0	41	0
CESC	normal	TCGA-C5-A1MN	TCGA-C5-A1MN-01A-11D-A14W-08	141	139	1.0	1.0	10.0	115	0
CESC	normal	TCGA-C5-A2LT	TCGA-C5-A2LT-01A-11D-A18J-09	46	46	0	0	1.0	32	0
CESC	normal	TCGA-C5-A2LX	TCGA-C5-A2LX-01A-11D-A18J-09	225	220	4.0	1.0	11.0	152	0
CESC	normal	TCGA-C5-A7CJ	TCGA-C5-A7CJ-01A-11D-A32I-09	72	70	1.0	1.0	6.0	48	0
CESC	normal	TCGA-C5-A7CK	TCGA-C5-A7CK-01A-11D-A32I-09	156	152	4.0	0	12.0	95	0
CESC	normal	TCGA-C5-A7UE	TCGA-C5-A7UE-01A-11D-A33O-09	179	172	4.0	3.0	8.0	129	0
CESC	normal	TCGA-C5-A7UH	TCGA-C5-A7UH-01A-11D-A351-09	262	255	6.0	1.0	17.0	171	0
CESC	normal	TCGA-C5-A7X5	TCGA-C5-A7X5-01A-11D-A36J-09	248	245	3.0	0	14.0	172	0
CESC	normal	TCGA-C5-A8XH	TCGA-C5-A8XH-01A-11D-A37N-09	313	293	19.0	1.0	19.0	196	1.0
CESC	normal	TCGA-C5-A901	TCGA-C5-A901-01A-11D-A37N-09	109	107	2.0	0	4.0	68	0
CESC	normal	TCGA-DR-A0ZL	TCGA-DR-A0ZL-01A-11D-A10S-08	65	64	1.0	0	3.0	56	0
CESC	normal	TCGA-DS-A0VK	TCGA-DS-A0VK-01A-21D-A10S-08	124	122	2.0	0	8.0	102	0
CESC	normal	TCGA-DS-A1OA	TCGA-DS-A1OA-01A-11D-A16Y-08	58	58	0	0	0	44	0
CESC	normal	TCGA-DS-A7WF	TCGA-DS-A7WF-01A-11D-A351-09	51	48	3.0	0	3.0	35	0
CESC	normal	TCGA-DS-A7WI	TCGA-DS-A7WI-01A-12D-A351-09	39	37	1.0	1.0	3.0	21	0
CESC	normal	TCGA-EA-A1QS	TCGA-EA-A1QS-01A-61D-A22X-09	80	80	0	0	6.0	52	0
CESC	normal	TCGA-EA-A3HS	TCGA-EA-A3HS-01A-11D-A20U-09	923	833	70.0	20.0	31.0	619	0
CESC	normal	TCGA-EA-A411	TCGA-EA-A411-01A-11D-A243-09	66	65	1.0	0	3.0	43	0
CESC	normal	TCGA-EA-A5FO	TCGA-EA-A5FO-01A-21D-A28B-09	88	85	2.0	1.0	4.0	56	0
CESC	normal	TCGA-EA-A5ZD	TCGA-EA-A5ZD-01A-11D-A28B-09	27	27	0	0	2.0	19	0
CESC	normal	TCGA-EA-A5ZE	TCGA-EA-A5ZE-01A-11D-A28B-09	68	62	3.0	3.0	0	37	0
CESC	normal	TCGA-EA-A5ZF	TCGA-EA-A5ZF-01A-11D-A28B-09	79	73	5.0	1.0	4.0	51	1.0
CESC	normal	TCGA-EA-A6QX	TCGA-EA-A6QX-01A-12D-A33O-09	74	72	1.0	1.0	6.0	45	0
CESC	normal	TCGA-EA-A78R	TCGA-EA-A78R-01A-11D-A32I-09	74	71	3.0	0	4.0	44	0
CESC	normal	TCGA-EA-A97N	TCGA-EA-A97N-01A-11D-A387-09	145	143	2.0	0	10.0	92	0
CESC	normal	TCGA-EK-A2H1	TCGA-EK-A2H1-01A-11D-A17W-09	49	48	0	1.0	4.0	25	0
CESC	normal	TCGA-EK-A2IP	TCGA-EK-A2IP-01A-11D-A17W-09	151	150	1.0	0	5.0	101	0
CESC	normal	TCGA-EK-A2PG	TCGA-EK-A2PG-01A-11D-A18J-09	691	688	1.0	2.0	35.0	475	0
CESC	normal	TCGA-EK-A2PI	TCGA-EK-A2PI-01A-11D-A18J-09	96	93	1.0	2.0	5.0	65	1.0
CESC	normal	TCGA-EK-A2PM	TCGA-EK-A2PM-01A-11D-A18J-09	352	344	8.0	0	18.0	229	0
CESC	normal	TCGA-EK-A2RC	TCGA-EK-A2RC-01A-11D-A18J-09	201	199	2.0	0	12.0	135	1.0
CESC	normal	TCGA-EK-A2RE	TCGA-EK-A2RE-01A-11D-A18J-09	27	24	2.0	1.0	2.0	16	0
CESC	normal	TCGA-EK-A2RN	TCGA-EK-A2RN-01A-12D-A20U-09	175	173	1.0	1.0	10.0	120	1.0
CESC	normal	TCGA-EX-A1H5	TCGA-EX-A1H5-01A-31D-A13W-08	45	41	4.0	0	3.0	34	0
CESC	normal	TCGA-EX-A3L1	TCGA-EX-A3L1-01A-11D-A21Q-09	49	48	1.0	0	4.0	33	0
CESC	normal	TCGA-EX-A69M	TCGA-EX-A69M-01A-11D-A32I-09	63	56	5.0	2.0	3.0	37	0
CESC	normal	TCGA-EX-A8YF	TCGA-EX-A8YF-01A-11D-A37N-09	48	45	1.0	2.0	6.0	30	0
CESC	normal	TCGA-FU-A23L	TCGA-FU-A23L-01A-11D-A16O-08	159	155	4.0	0	11.0	131	0
CESC	normal	TCGA-FU-A3EO	TCGA-FU-A3EO-01A-11D-A20U-09	67	63	2.0	2.0	0	44	0
CESC	normal	TCGA-FU-A3NI	TCGA-FU-A3NI-01A-11D-A21Q-09	121	117	3.0	1.0	6.0	81	0
CESC	normal	TCGA-FU-A770	TCGA-FU-A770-01A-11D-A33O-09	59	56	0	3.0	4.0	33	0
CESC	normal	TCGA-HM-A3JJ	TCGA-HM-A3JJ-01A-21D-A21Q-09	154	149	5.0	0	10.0	113	0
CESC	normal	TCGA-IR-A3LI	TCGA-IR-A3LI-01A-11D-A20U-09	419	417	1.0	1.0	29.0	266	0
CESC	normal	TCGA-JW-A5VI	TCGA-JW-A5VI-01A-11D-A28B-09	79	75	1.0	3.0	7.0	53	0
CESC	normal	TCGA-JW-A5VJ	TCGA-JW-A5VJ-01A-11D-A28B-09	264	261	1.0	2.0	20.0	164	2.0
CESC	normal	TCGA-JX-A3PZ	TCGA-JX-A3PZ-01A-11D-A21Q-09	59	59	0	0	4.0	38	0
CESC	normal	TCGA-JX-A3Q0	TCGA-JX-A3Q0-01A-11D-A21Q-09	881	874	4.0	3.0	64.0	590	0
CESC	normal	TCGA-JX-A5QV	TCGA-JX-A5QV-01A-22D-A28B-09	57	54	1.0	2.0	1.0	41	0
CESC	normal	TCGA-LP-A4AU	TCGA-LP-A4AU-01A-32D-A243-09	55	53	2.0	0	4.0	35	0
CESC	normal	TCGA-LP-A4AW	TCGA-LP-A4AW-01A-11D-A243-09	129	122	5.0	2.0	7.0	78	0
CESC	normal	TCGA-LP-A5U2	TCGA-LP-A5U2-01A-11D-A28B-09	242	241	1.0	0	12.0	169	0
CESC	normal	TCGA-LP-A5U3	TCGA-LP-A5U3-01A-11D-A28B-09	45	45	0	0	4.0	33	0
CESC	normal	TCGA-LP-A7HU	TCGA-LP-A7HU-01A-11D-A33O-09	195	188	5.0	2.0	11.0	121	0
CESC	normal	TCGA-MA-AA41	TCGA-MA-AA41-01A-11D-A387-09	601	598	2.0	1.0	43.0	369	0
CESC	normal	TCGA-Q1-A5R3	TCGA-Q1-A5R3-01A-11D-A28B-09	73	69	1.0	3.0	4.0	51	0
CESC	normal	TCGA-Q1-A6DW	TCGA-Q1-A6DW-01A-11D-A32I-09	128	126	2.0	0	6.0	87	0
CESC	normal	TCGA-VS-A8EC	TCGA-VS-A8EC-01A-11D-A36J-09	153	146	5.0	2.0	2.0	105	0
CESC	normal	TCGA-VS-A8EI	TCGA-VS-A8EI-01A-11D-A37N-09	145	145	0	0	14.0	99	0
CESC	normal	TCGA-VS-A8EK	TCGA-VS-A8EK-01A-12D-A37N-09	267	258	7.0	2.0	14.0	171	1.0
CESC	normal	TCGA-VS-A8Q9	TCGA-VS-A8Q9-01A-12D-A37N-09	54	48	3.0	3.0	1.0	32	0
CESC	normal	TCGA-VS-A8QM	TCGA-VS-A8QM-01A-11D-A37N-09	124	122	2.0	0	5.0	87	0
CESC	normal	TCGA-VS-A94Y	TCGA-VS-A94Y-01A-11D-A387-09	53	50	2.0	1.0	2.0	38	0
CESC	normal	TCGA-VS-A950	TCGA-VS-A950-01A-11D-A42O-09	119	117	1.0	1.0	9.0	81	0
CESC	normal	TCGA-VS-A953	TCGA-VS-A953-01A-11D-A387-09	453	449	3.0	1.0	26.0	290	1.0
CESC	normal	TCGA-VS-A954	TCGA-VS-A954-01A-11D-A387-09	95	92	3.0	0	6.0	55	0
CESC	normal	TCGA-VS-A959	TCGA-VS-A959-01A-11D-A42O-09	316	313	3.0	0	19.0	204	0
CESC	normal	TCGA-VS-A9UD	TCGA-VS-A9UD-01A-11D-A42O-09	212	204	5.0	3.0	15.0	132	0
CESC	normal	TCGA-VS-A9UR	TCGA-VS-A9UR-01A-11D-A42O-09	147	145	2.0	0	10.0	87	0
CESC	normal	TCGA-VS-A9UT	TCGA-VS-A9UT-01A-11D-A42O-09	36	34	0	2.0	4.0	19	0
CESC	normal	TCGA-VS-A9UZ	TCGA-VS-A9UZ-01A-11D-A42O-09	231	226	5.0	0	15.0	129	0
CESC	normal	TCGA-VS-A9V1	TCGA-VS-A9V1-01A-11D-A42O-09	202	200	1.0	1.0	10.0	124	0
CESC	normal	TCGA-VS-A9V2	TCGA-VS-A9V2-01A-11D-A42O-09	49	45	2.0	2.0	0	35	0
CESC	normal	TCGA-VS-A9V3	TCGA-VS-A9V3-01A-11D-A42O-09	204	196	8.0	0	12.0	127	0
CESC	normal	TCGA-VS-A9V4	TCGA-VS-A9V4-01A-12D-A42O-09	144	136	3.0	5.0	6.0	96	0
CESC	normal	TCGA-XS-A8TJ	TCGA-XS-A8TJ-01A-11D-A36J-09	108	106	0	2.0	12.0	68	0
CESC	normal	TCGA-ZJ-AAXN	TCGA-ZJ-AAXN-01A-11D-A42O-09	71	68	2.0	1.0	3.0	47	0
CESC	normal	TCGA-ZX-AA5X	TCGA-ZX-AA5X-01A-11D-A42O-09	74	71	2.0	1.0	3.0	55	0
CESC	obesity	TCGA-C5-A1BE	TCGA-C5-A1BE-01B-11D-A13W-08	70	64	5.0	1.0	4.0	54	0
CESC	obesity	TCGA-C5-A1BK	TCGA-C5-A1BK-01B-11D-A13W-08	178	176	2.0	0	15.0	132	0
CESC	obesity	TCGA-C5-A1MQ	TCGA-C5-A1MQ-01A-11D-A14W-08	44	42	2.0	0	7.0	32	0
CESC	obesity	TCGA-C5-A2LS	TCGA-C5-A2LS-01A-22D-A22X-09	59	55	3.0	1.0	3.0	40	0
