cancer	type	sampleID	sample	exon	SNV	DEL	INS	Nonsense	Missense	Nonstop
COAD	normal	TCGA-3L-AA1B	TCGA-3L-AA1B-01A-11D-A36X-10	130	127	2.0	1.0	7	110	0
COAD	normal	TCGA-5M-AATE	TCGA-5M-AATE-01A-11D-A40P-10	131	127	2.0	2.0	7	102	0
COAD	normal	TCGA-A6-2671	TCGA-A6-2671-01A-01D-1408-10	129	110	15.0	4.0	4	97	0
COAD	normal	TCGA-A6-2677	TCGA-A6-2677-01A-01D-A270-10	283	273	8.0	2.0	16	206	0
COAD	normal	TCGA-A6-2683	TCGA-A6-2683-01A-01D-1953-10	64	64	0	0	4	56	0
COAD	normal	TCGA-A6-5656	TCGA-A6-5656-01A-21D-A270-10	126	118	5.0	3.0	5	91	0
COAD	normal	TCGA-A6-5664	TCGA-A6-5664-01A-21D-1835-10	64	62	2.0	0	7	52	0
COAD	normal	TCGA-A6-5667	TCGA-A6-5667-01A-21D-1719-10	125	117	3.0	5.0	4	97	0
COAD	normal	TCGA-A6-6782	TCGA-A6-6782-01A-11D-1835-10	138	136	2.0	0	17	102	0
COAD	normal	TCGA-A6-A567	TCGA-A6-A567-01A-31D-A28G-10	55	53	1.0	1.0	4	43	0
COAD	normal	TCGA-A6-A56B	TCGA-A6-A56B-01A-31D-A28G-10	101	97	3.0	1.0	6	73	0
COAD	normal	TCGA-AD-6899	TCGA-AD-6899-01A-11D-1924-10	153	149	3.0	1.0	10	119	0
COAD	normal	TCGA-AD-6901	TCGA-AD-6901-01A-11D-1924-10	246	238	7.0	1.0	11	199	0
COAD	normal	TCGA-AY-A54L	TCGA-AY-A54L-01A-11D-A28G-10	155	143	7.0	5.0	9	116	0
COAD	normal	TCGA-CA-5254	TCGA-CA-5254-01A-21D-1835-10	208	200	5.0	3.0	12	161	0
COAD	normal	TCGA-CA-5255	TCGA-CA-5255-01A-11D-1835-10	58	55	2.0	1.0	2	45	0
COAD	normal	TCGA-CA-5256	TCGA-CA-5256-01A-01D-1408-10	80	73	5.0	2.0	8	58	0
COAD	normal	TCGA-CA-6715	TCGA-CA-6715-01A-21D-1835-10	104	96	7.0	1.0	5	81	0
COAD	normal	TCGA-CA-6716	TCGA-CA-6716-01A-11D-1835-10	149	141	2.0	6.0	11	117	0
COAD	normal	TCGA-CA-6719	TCGA-CA-6719-01A-11D-1835-10	116	111	1.0	4.0	7	99	0
COAD	normal	TCGA-CM-4747	TCGA-CM-4747-01A-01D-1408-10	91	86	4.0	1.0	4	71	0
COAD	normal	TCGA-CM-5349	TCGA-CM-5349-01A-21D-1719-10	109	102	3.0	4.0	8	80	0
COAD	normal	TCGA-CM-6161	TCGA-CM-6161-01A-11D-1650-10	98	94	2.0	2.0	4	70	0
COAD	normal	TCGA-CM-6163	TCGA-CM-6163-01A-11D-1650-10	105	105	0	0	11	79	1.0
COAD	normal	TCGA-CM-6166	TCGA-CM-6166-01A-11D-1650-10	94	91	1.0	2.0	3	71	0
COAD	normal	TCGA-CM-6168	TCGA-CM-6168-01A-11D-1650-10	230	205	20.0	5.0	20	162	0
COAD	normal	TCGA-CM-6678	TCGA-CM-6678-01A-11D-1835-10	138	131	2.0	5.0	9	107	0
COAD	normal	TCGA-D5-6531	TCGA-D5-6531-01A-11D-1719-10	200	189	8.0	2.0	8	148	0
COAD	normal	TCGA-D5-6533	TCGA-D5-6533-01A-11D-1719-10	174	166	5.0	3.0	13	120	1.0
COAD	normal	TCGA-D5-6538	TCGA-D5-6538-01A-11D-1719-10	138	132	2.0	4.0	9	100	0
COAD	normal	TCGA-D5-6539	TCGA-D5-6539-01A-11D-1719-10	102	98	2.0	2.0	4	86	0
COAD	normal	TCGA-D5-6927	TCGA-D5-6927-01A-21D-1924-10	740	553	154.0	33.0	26	446	1.0
COAD	normal	TCGA-D5-6931	TCGA-D5-6931-01A-11D-1924-10	310	305	1.0	4.0	16	252	0
COAD	normal	TCGA-DM-A0XD	TCGA-DM-A0XD-01A-12D-A152-10	173	164	7.0	2.0	5	131	0
COAD	normal	TCGA-DM-A1D0	TCGA-DM-A1D0-01A-11D-A152-10	110	104	4.0	2.0	3	83	0
COAD	normal	TCGA-DM-A1D4	TCGA-DM-A1D4-01A-21D-A152-10	183	177	3.0	3.0	8	147	0
COAD	normal	TCGA-DM-A1D7	TCGA-DM-A1D7-01A-11D-A152-10	136	132	1.0	3.0	5	111	0
