cancer	type	sampleID	sample	exon	SNV	DEL	INS	Nonsense	Missense	Nonstop
ESCA	normal	TCGA-2H-A9GJ	TCGA-2H-A9GJ-01A-11D-A37C-09	141	125	13.0	3.0	7.0	79	0
ESCA	normal	TCGA-2H-A9GK	TCGA-2H-A9GK-01A-11D-A37C-09	224	218	4.0	2.0	6.0	149	0
ESCA	normal	TCGA-2H-A9GM	TCGA-2H-A9GM-01A-11D-A37C-09	139	131	6.0	2.0	6.0	88	0
ESCA	normal	TCGA-2H-A9GN	TCGA-2H-A9GN-01A-11D-A37C-09	150	140	8.0	2.0	4.0	90	0
ESCA	normal	TCGA-2H-A9GR	TCGA-2H-A9GR-01A-12D-A37C-09	404	396	6.0	2.0	16.0	274	0
ESCA	normal	TCGA-IG-A3YA	TCGA-IG-A3YA-01A-11D-A247-09	98	97	1.0	0	6.0	69	0
ESCA	normal	TCGA-IG-A3YC	TCGA-IG-A3YC-01A-11D-A247-09	62	58	3.0	1.0	2.0	41	0
ESCA	normal	TCGA-IG-A50L	TCGA-IG-A50L-01A-11D-A27G-09	132	124	2.0	6.0	6.0	94	0
ESCA	normal	TCGA-IG-A51D	TCGA-IG-A51D-01A-11D-A27G-09	161	153	7.0	1.0	5.0	109	0
ESCA	normal	TCGA-IG-A5B8	TCGA-IG-A5B8-01A-11D-A28B-09	321	315	3.0	3.0	18.0	204	0
ESCA	normal	TCGA-IG-A5S3	TCGA-IG-A5S3-01A-11D-A28B-09	85	77	8.0	0	2.0	54	0
ESCA	normal	TCGA-IG-A6QS	TCGA-IG-A6QS-01A-12D-A33E-09	72	70	2.0	0	1.0	50	0
ESCA	normal	TCGA-IG-A7DP	TCGA-IG-A7DP-01A-31D-A33E-09	12	12	0	0	0	10	0
ESCA	normal	TCGA-IG-A8O2	TCGA-IG-A8O2-01A-11D-A36J-09	176	166	8.0	2.0	7.0	102	0
ESCA	normal	TCGA-IG-A97H	TCGA-IG-A97H-01A-11D-A387-09	118	111	4.0	3.0	3.0	75	0
ESCA	normal	TCGA-IG-A97I	TCGA-IG-A97I-01A-11D-A387-09	146	133	7.0	5.0	9.0	86	1.0
ESCA	normal	TCGA-JY-A6FA	TCGA-JY-A6FA-01A-11D-A33E-09	150	140	6.0	4.0	8.0	88	0
ESCA	normal	TCGA-JY-A6FE	TCGA-JY-A6FE-01A-11D-A33E-09	90	82	6.0	2.0	3.0	42	0
ESCA	normal	TCGA-JY-A93C	TCGA-JY-A93C-01A-11D-A387-09	117	108	7.0	2.0	9.0	68	0
ESCA	normal	TCGA-JY-A93E	TCGA-JY-A93E-01A-11D-A37C-09	218	209	4.0	5.0	7.0	151	0
ESCA	normal	TCGA-L5-A43E	TCGA-L5-A43E-01A-11D-A247-09	343	337	2.0	4.0	11.0	249	0
ESCA	normal	TCGA-L5-A4OO	TCGA-L5-A4OO-01A-11D-A27G-09	125	117	4.0	4.0	6.0	79	0
ESCA	normal	TCGA-L5-A4OS	TCGA-L5-A4OS-01A-11D-A28B-09	106	103	1.0	2.0	3.0	70	0
ESCA	normal	TCGA-L5-A88S	TCGA-L5-A88S-01A-11D-A36J-09	100	96	3.0	1.0	2.0	70	0
ESCA	normal	TCGA-L5-A88V	TCGA-L5-A88V-01A-11D-A351-09	215	201	9.0	5.0	15.0	125	0
ESCA	normal	TCGA-L5-A88W	TCGA-L5-A88W-01A-11D-A351-09	188	173	7.0	8.0	6.0	114	0
ESCA	normal	TCGA-L5-A88Y	TCGA-L5-A88Y-01A-11D-A351-09	262	255	6.0	1.0	8.0	185	1.0
ESCA	normal	TCGA-L5-A88Z	TCGA-L5-A88Z-01A-11D-A36J-09	91	83	3.0	5.0	7.0	52	0
ESCA	normal	TCGA-L5-A891	TCGA-L5-A891-01A-11D-A36J-09	198	186	10.0	2.0	11.0	133	0
ESCA	normal	TCGA-L5-A8NN	TCGA-L5-A8NN-01A-11D-A37C-09	141	133	5.0	3.0	6.0	90	1.0
ESCA	normal	TCGA-L5-A8NR	TCGA-L5-A8NR-01A-11D-A37C-09	267	252	14.0	1.0	14.0	159	0
ESCA	normal	TCGA-L5-A8NV	TCGA-L5-A8NV-01A-11D-A37C-09	139	133	6.0	0	7.0	93	0
